# org_id,org_cellx,org_celly,org_forage_target,org_group_id,org_facing,av_cellx,av_celly,av_facing
0,29,82,-2,-1,6,111,1,0
1,171,168,-1,-1,6,40,75,0
923,102,51,-1,-1,6,22,174,0
3,45,188,-1,-1,6,184,97,0
4,27,198,-1,-1,6,177,103,0
5,47,75,-1,-1,6,154,64,0
6,212,204,-1,-1,6,67,158,0
7,198,246,-1,-1,6,41,219,0
8,138,79,-1,-1,6,70,191,0
9,77,239,-1,-1,6,156,163,0
10,204,245,-1,-1,6,0,172,0
11,210,213,-1,-1,6,79,101,0
12,87,221,-1,-1,6,27,135,0
13,64,47,-1,-1,6,34,201,0
14,27,20,-1,-1,6,7,108,0
15,20,196,-1,-1,6,77,114,0
16,7,46,-1,-1,6,17,3,0
17,15,176,-2,-1,6,106,48,0
909,215,167,-2,-1,6,158,128,0
917,104,131,-1,-1,6,56,60,0
20,37,234,-1,-1,6,197,187,0
21,32,178,-1,-1,6,22,3,0
22,9,206,-1,-1,6,155,192,0
23,220,35,-1,-1,6,15,25,0
24,244,71,-1,-1,6,56,217,0
25,161,87,-1,-1,6,68,64,0
26,242,103,-1,-1,6,217,59,0
27,127,54,-2,-1,6,221,82,6
28,146,82,-1,-1,6,124,23,0
29,199,241,-1,-1,6,8,170,0
30,233,31,-1,-1,6,39,227,0
31,191,233,-1,-1,6,173,68,0
32,232,216,-1,-1,6,109,134,0
33,191,242,-1,-1,6,34,7,0
34,137,244,-1,-1,6,152,104,0
35,116,216,-1,-1,6,27,188,0
36,58,122,-1,-1,6,74,121,0
37,241,21,-1,-1,6,28,166,0
38,180,134,-1,-1,6,27,122,0
39,121,183,-1,-1,6,16,97,0
40,144,21,-1,-1,6,13,240,0
41,36,210,-1,-1,6,155,132,0
42,46,108,-1,-1,6,225,165,0
43,211,75,-1,-1,6,165,52,0
44,121,195,-1,-1,6,47,16,0
45,46,247,-1,-1,6,163,86,0
46,154,0,-1,-1,6,121,162,0
47,247,150,-1,-1,6,124,54,0
48,130,96,-1,-1,6,179,39,0
49,137,209,-1,-1,6,23,48,0
50,73,88,-1,-1,6,33,203,0
51,172,180,-1,-1,6,107,98,0
52,228,152,-1,-1,6,134,39,0
53,235,239,-1,-1,6,247,43,0
54,183,178,-1,-1,6,111,73,0
55,115,192,-1,-1,6,179,101,0
56,203,104,-1,-1,6,132,75,0
57,238,146,-1,-1,6,184,144,0
58,32,230,-1,-1,6,199,148,0
59,215,114,-1,-1,6,112,114,0
60,44,127,-1,-1,6,229,19,0
61,148,121,-1,-1,6,212,48,0
62,110,180,-1,-1,6,28,19,0
63,44,240,-1,-1,6,144,20,0
64,190,211,-1,-1,6,126,158,0
65,236,165,-1,-1,6,123,79,0
66,140,60,-1,-1,6,39,1,0
67,93,152,-1,-1,6,223,79,0
68,120,69,-1,-1,6,10,102,0
69,72,66,-1,-1,6,81,187,0
70,1,13,-1,-1,6,103,11,1
71,143,133,-1,-1,6,19,185,0
72,189,193,-1,-1,6,250,71,0
73,54,35,-2,-1,6,224,126,0
74,36,138,-2,-1,6,72,1,0
75,125,107,-1,-1,6,40,74,0
76,133,43,-1,-1,6,208,90,0
77,188,123,-1,-1,6,1,26,0
78,82,54,-1,-1,6,30,0,0
930,92,107,-1,-1,6,229,35,0
80,23,41,-1,-1,6,71,70,0
81,23,68,-1,-1,6,68,76,0
82,51,114,-1,-1,6,72,127,0
83,126,46,-1,-1,6,2,126,0
84,139,112,-2,-1,6,159,61,0
85,4,166,-1,-1,6,40,62,0
86,17,237,-1,-1,6,26,86,0
87,90,166,-2,-1,6,130,48,0
88,152,211,-1,-1,6,29,18,0
89,85,116,-1,-1,6,76,127,0
90,117,118,-1,-1,6,12,85,0
91,71,26,-1,-1,6,188,84,0
92,198,131,-1,-1,6,68,83,0
93,112,227,-1,-1,6,31,70,0
94,140,166,-1,-1,6,49,173,0
95,159,207,-1,-1,6,64,43,0
96,95,101,-1,-1,6,18,132,0
97,93,250,-1,-1,6,16,151,0
98,234,181,-1,-1,6,87,175,0
99,124,137,-1,-1,6,101,147,0
100,247,32,-1,-1,6,5,41,0
101,80,187,-1,-1,6,76,48,0
102,117,29,-1,-1,6,82,116,0
955,61,155,-1,-1,6,135,64,0
104,144,67,-1,-1,6,210,112,0
105,74,220,-1,-1,6,41,123,0
106,250,240,-1,-1,6,16,106,0
107,102,159,-1,-1,6,29,103,0
938,189,92,-1,-1,6,222,33,0
109,194,1,-1,-1,6,0,99,0
110,173,171,-1,-1,6,33,180,0
111,188,206,-2,-1,6,155,28,0
112,117,48,-1,-1,6,5,216,0
113,160,83,-1,-1,6,242,164,0
114,83,116,0,-1,6,66,135,6
115,35,218,0,-1,6,61,114,5
116,220,247,-1,-1,6,44,148,0
117,144,54,0,-1,6,145,96,1
118,128,61,0,-1,6,123,92,3
119,217,186,0,-1,6,50,149,3
120,169,239,-2,-1,6,170,148,6
121,70,72,0,-1,6,11,53,4
122,248,182,0,-1,6,56,61,3
123,93,61,-2,-1,6,239,246,6
124,38,203,-2,-1,6,107,90,0
125,13,222,0,-1,6,40,7,0
126,175,51,0,-1,6,159,63,0
127,173,53,0,-1,6,149,76,2
128,91,22,0,-1,6,10,0,0
129,30,164,0,-1,6,10,0,0
130,78,38,0,-1,6,191,203,6
131,154,91,0,-1,6,110,21,2
132,216,94,0,-1,6,58,84,2
133,32,149,-2,-1,6,184,196,6
134,67,79,0,-1,6,58,1,0
135,221,81,0,-1,6,56,0,0
136,187,110,-2,-1,6,62,94,6
137,49,45,0,-1,6,1,27,7
138,68,108,-2,-1,6,238,35,0
139,85,169,-1,-1,6,70,42,0
140,24,18,-1,-1,6,21,41,0
141,213,18,0,-1,6,130,249,6
142,145,128,0,-1,6,119,249,5
143,42,114,0,-1,6,157,46,6
144,235,34,0,-1,6,11,207,7
145,188,62,0,-1,6,50,225,7
146,226,114,-2,-1,6,78,40,3
147,219,195,0,-1,6,73,55,0
148,249,152,0,-1,6,215,94,4
149,88,178,0,-1,6,66,129,6
150,159,231,0,-1,6,29,137,5
962,103,135,-1,-1,6,101,7,0
152,4,167,0,-1,6,31,179,4
153,156,10,0,-1,6,174,18,4
154,21,127,-1,-1,6,6,88,0
155,245,91,-2,-1,6,217,226,6
156,235,83,0,-1,6,180,64,2
157,240,85,0,-1,6,162,87,4
158,148,68,0,-1,6,211,162,2
159,250,119,0,-1,6,191,80,2
160,153,243,0,-1,6,29,219,4
161,245,9,0,-1,6,127,127,4
162,84,109,0,-1,6,248,68,3
163,122,24,0,-1,6,12,51,1
164,115,99,0,-1,6,79,45,3
165,192,92,0,-1,6,26,144,4
166,98,124,0,-1,6,18,115,5
167,239,46,0,-1,6,94,13,1
168,185,74,0,-1,6,19,147,0
169,209,12,0,-1,6,1,167,6
170,149,218,0,-1,6,18,167,6
171,165,49,0,-1,6,120,135,0
172,117,214,0,-1,6,141,200,6
173,146,44,0,-1,6,214,114,6
174,178,64,0,-1,6,66,63,1
175,101,156,0,-1,6,17,58,4
176,18,110,0,-1,6,132,1,2
177,150,85,0,-1,6,80,23,5
949,12,143,-1,-1,6,217,44,0
179,225,183,0,-1,6,32,75,4
180,159,105,0,-1,6,118,7,0
181,203,230,0,-1,6,112,26,0
182,242,157,-1,-1,6,78,107,1
183,190,191,0,-1,6,80,193,3
184,68,232,0,-1,6,86,197,4
185,199,250,0,-1,6,62,113,3
186,92,111,0,-1,6,78,178,3
187,163,130,0,-1,6,60,159,5
188,126,118,0,-1,6,154,171,6
189,210,66,-2,-1,6,200,88,0
190,127,213,-2,-1,6,191,136,6
191,171,81,-2,-1,6,245,50,5
192,93,249,-2,-1,6,174,213,6
193,28,8,0,-1,6,9,1,6
194,16,233,0,-1,6,7,7,5
965,37,145,-1,-1,6,166,26,0
196,188,145,0,-1,6,224,206,5
197,137,237,-1,-1,6,32,51,0
198,93,55,-1,-1,6,39,129,0
199,235,19,0,-1,6,83,134,7
200,117,132,0,-1,6,7,94,7
201,193,195,0,-1,6,46,57,6
202,140,223,0,-1,6,56,17,5
203,107,67,0,-1,6,71,70,6
204,198,170,0,-1,6,110,62,4
205,110,130,0,-1,6,16,42,5
206,213,214,0,-1,6,115,21,3
207,15,159,-2,-1,6,126,14,0
208,226,128,0,-1,6,23,92,6
209,42,153,-2,-1,6,75,129,0
210,91,151,-2,-1,6,95,223,0
211,98,96,0,-1,6,65,144,6
212,29,153,0,-1,6,63,129,6
213,108,122,0,-1,6,219,128,0
214,36,209,0,-1,6,215,92,0
215,121,58,0,-1,6,106,71,0
216,217,243,0,-1,6,49,121,5
217,247,87,0,-1,6,75,1,7
218,74,128,0,-1,6,24,6,6
219,77,243,0,-1,6,57,2,2
220,227,227,0,-1,6,131,80,2
221,219,108,0,-1,6,66,182,7
222,202,138,0,-1,6,65,145,0
223,38,211,0,-1,6,66,184,5
224,123,178,0,-1,6,61,121,2
225,140,213,0,-1,6,44,112,1
226,193,115,0,-1,6,47,177,3
227,89,125,0,-1,6,222,33,3
911,1,227,-2,-1,6,203,86,4
229,208,148,0,-1,6,249,111,4
914,42,131,-2,-1,6,201,207,1
231,247,102,0,-1,6,148,73,5
232,114,233,0,-1,6,189,24,7
233,6,167,0,-1,6,183,81,0
234,46,195,0,-1,6,187,94,0
235,216,221,-2,-1,6,162,95,4
916,6,144,-1,-1,6,127,126,0
237,180,194,0,-1,6,51,162,4
238,146,45,-2,-1,6,186,165,0
239,127,183,-2,-1,6,157,203,6
240,219,161,-2,-1,6,84,2,6
241,194,131,0,-1,6,202,61,4
242,32,172,-2,-1,6,146,192,0
243,219,47,0,-1,6,123,144,1
244,250,171,0,-1,6,106,148,2
