#  1: Update
#  2: nop-A
#  3: nop-B
#  4: nop-C
#  5: if-n-equ
#  6: if-less
#  7: pop
#  8: push
#  9: swap-stk
# 10: swap
# 11: shift-r
# 12: shift-l
# 13: inc
# 14: dec
# 15: add
# 16: sub
# 17: nand
# 18: IO
# 19: h-alloc
# 20: h-divide
# 21: h-copy
# 22: h-search
# 23: mov-head
# 24: jmp-head
# 25: get-head
# 26: if-label
# 27: set-flow
# 28: sense-m100
# 29: if-equ-0
# 30: time
# 31: sleep1
# 32: sleep2
# 33: sleep3
# 34: sleep4

0 77 1 18 0 0 0 0 0 0 0 0 0 0 0 0 2 17 2 1 1 3 3 0 0 1 0 0 0 0 0 0 0 0 
10 318 4 68 0 0 0 0 0 0 0 0 0 0 0 0 8 65 7 4 4 11 11 0 0 4 0 0 0 0 0 0 0 0 
20 1106 14 232 0 0 0 0 0 0 0 0 0 1 0 0 28 225 22 14 15 36 37 0 0 14 0 1 0 0 0 0 0 0 
30 2271 34 537 0 0 2 0 0 2 0 0 1 1 0 0 70 525 45 35 36 79 82 0 0 37 0 1 0 0 0 0 0 0 
40 3971 71 1076 0 0 1 0 0 1 1 0 1 1 0 1 149 1067 82 71 73 152 155 0 0 76 0 2 0 0 0 0 1 1 
50 5765 123 2070 3 0 2 5 0 0 4 2 0 2 0 1 295 2067 167 129 124 285 280 2 0 131 1 6 4 6 0 2 5 0 
60 6784 115 1925 7 0 5 1 1 5 4 4 2 2 0 3 268 1911 160 126 116 276 269 1 1 121 3 3 7 6 1 4 2 1 
70 550 8 112 0 0 0 0 0 0 8 0 0 0 0 0 16 118 10 8 8 18 18 0 0 8 0 0 0 0 0 0 0 0 
80 1770 30 371 0 0 0 1 1 0 28 0 1 0 0 1 56 396 40 27 27 66 57 1 2 30 0 0 3 1 0 1 0 0 
90 3282 87 1175 4 2 1 9 5 3 94 0 6 0 0 1 173 1256 105 79 82 185 175 3 11 84 2 1 7 1 0 5 0 0 
100 6394 140 2028 13 6 2 15 2 2 168 1 0 2 2 7 278 2137 200 121 121 327 299 2 25 126 6 1 15 2 0 17 1 0 
